restaurant name,restaurant type,rate (out of 5),num of ratings,avg cost (two people),online_order,table booking,cuisines type,area,local address
Authentic Aandhra,Delivery,2.8,40,300,Yes,No,"Andhra, North Indian",Bannerghatta Road,BTM
AutoExpress - Hot Dogs,Quick Bites,3.3,5,300,Yes,No,Fast Food,"Byresandra,Tavarekere,Madiwala",HSR
Avanti Indian Barbeque & Grill,Casual Dining,3.4,46,1100,No,No,North Indian,Indiranagar,Domlur
Avista Cafe Pizzeria,Cafe,4.5,506,650,Yes,Yes,"Cafe, Italian",Kalyan Nagar,Hennur
Avon Bar & Kitchen,Casual Dining,3.7,104,700,No,No,"Andhra, Chinese, North Indian","Byresandra,Tavarekere,Madiwala",BTM
Awesome Biryani,"Takeaway, Delivery",2.8,40,500,No,No,"Biryani, Fast Food, Mughlai",Kalyan Nagar,Kalyan Nagar
Awesome Foods,Quick Bites,3.7,23,300,Yes,No,"Chinese, North Indian","Byresandra,Tavarekere,Madiwala",BTM
Axomi - Taste of Assam,Casual Dining,4,610,500,Yes,No,Assamese,"Byresandra,Tavarekere,Madiwala",Koramangala 7th Block
Ayda Persian Kitchen,Casual Dining,3.7,39,950,No,No,"North Indian, Iranian",Banashankari,Banashankari
Ayodhya Food Line,Quick Bites,3.4,10,250,Yes,No,"South Indian, North Indian, Fast Food, Chinese",Rajajinagar,Nagarbhavi
Ayodhya Sagara,Quick Bites,3.8,65,200,Yes,No,"Chinese, North Indian, South Indian",Rajajinagar,Basaveshwara Nagar
Ayodhya Upachar,Quick Bites,4.3,734,200,Yes,No,"South Indian, North Indian, Chinese, Street Food",Banashankari,Banashankari
Ayush Reddy Tiffins & Fast Food Center,Quick Bites,,40,300,No,No,"South Indian, Fast Food, Chinese",Koramangala 6th Block,BTM
Azimmo Treat,Casual Dining,3.8,41,700,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",HSR
Azura Restaurant,Casual Dining,2.8,95,500,Yes,No,"North Indian, Mughlai, Chinese, Arabian, Kerala",Bellandur,Bellandur
B & B The Pub,"Casual Dining, Bar",3.6,29,1000,No,No,"Asian, Continental",Basavanagudi,Basavanagudi
B Bhagat Tarachand,Casual Dining,4.2,176,700,Yes,Yes,"North Indian, Chinese, Street Food, Beverages",Lavelle Road,City Market
b CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© - Shangri-La Hotel,"Fine Dining, Bar",4.3,429,3400,No,Yes,"North Indian, Italian, Chinese, Japanese",Lavelle Road,Vasanth Nagar
B.M.W - Bhookh Mitaane Wala,Delivery,3.6,504,500,Yes,No,"North Indian, South Indian, Chinese",Koramangala 6th Block,Koramangala 1st Block
B.M.W Bhookh Mitaane Wala,Quick Bites,3.5,8,500,Yes,No,"North Indian, South Indian, Chinese",Bannerghatta Road,JP Nagar
B1,Pub,3.9,123,1100,Yes,Yes,"Continental, Burger, Italian, Pizza, North Indian, Salad",New BEL Road,New BEL Road
B2D Indori Dhaba,Quick Bites,3.3,4,100,No,No,North Indian,Koramangala 5th Block,BTM
B52 - Sports Bar,Bar,3.5,107,1200,Yes,Yes,"Continental, American, Chinese, Finger Food",Malleshwaram,Yeshwantpur
Baahubelly,Casual Dining,3.7,68,500,No,No,"South Indian, North Indian",Lavelle Road,Brigade Road
Baar Union,"Bar, Pub",4.6,634,850,No,Yes,"Continental, Finger Food, Asian, Chinese",HSR,HSR
Baba Bhature,"Takeaway, Delivery",3.7,22,200,Yes,No,North Indian,Marathahalli,Marathahalli
Baba Chatkora,Casual Dining,2.8,40,1000,No,No,North Indian,"Byresandra,Tavarekere,Madiwala",JP Nagar
Baba Da Dhaba,Casual Dining,3.6,32,650,No,Yes,North Indian,Bellandur,Sarjapur Road
Baba Fattoosh,Delivery,3.6,14,300,No,No,North Indian,Brookefield,Whitefield
Baba Ka Dhaba,Quick Bites,3.7,194,400,Yes,No,North Indian,Bannerghatta Road,BTM
BabaYaga's,"Bar, Casual Dining",4,241,1500,No,Yes,"American, Finger Food",MG Road,Indiranagar
Babu Moshai,Quick Bites,3,43,500,Yes,No,"Fast Food, Bengali",Bannerghatta Road,Bannerghatta Road
Bachelor's Special Biriyani,Quick Bites,3.3,6,250,No,No,"Biryani, North Indian, South Indian",Electronic City,Electronic City
Bada Bing Burgers,Delivery,3.5,13,300,Yes,No,"Burger, Desserts",Frazer Town,Frazer Town
Bademiyan Kebabs,Casual Dining,3.8,86,600,Yes,No,"Kebab, Hyderabadi, Biryani, Charcoal Chicken",Malleshwaram,Malleshwaram
Bageecha,Casual Dining,2.1,479,650,Yes,No,"North Indian, Chinese",Marathahalli,Marathahalli
Bahar Cafe,Casual Dining,4,903,750,Yes,Yes,"Andhra, Biryani, Chinese, Hyderabadi, North Indian, South Indian",Bellandur,Marathahalli
Baisakhi,Casual Dining,3.8,527,500,Yes,No,North Indian,Banashankari,Basavanagudi
Baithak,"Casual Dining, Bar",4.2,1383,1100,No,No,"Continental, North Indian, Mughlai",HSR,HSR
Bajji House,Quick Bites,3.5,7,100,Yes,No,Street Food,"Byresandra,Tavarekere,Madiwala",HSR
Bake a Smile,"Takeaway, Delivery",3.4,9,400,No,No,"Bakery, Desserts",Indiranagar,Old Airport Road
Bake Addiction,Bakery,4,88,500,Yes,No,"Bakery, Desserts",Bannerghatta Road,JP Nagar
Bake and Fry,"Takeaway, Delivery",3.1,9,400,Yes,No,"Fast Food, Sandwich",Frazer Town,RT Nagar
Bake and Juice,Quick Bites,3.5,15,400,Yes,No,Fast Food,Jayanagar,BTM
Bake Delite,"Bakery, Quick Bites",3.7,18,400,Yes,No,"Bakery, Fast Food",JP Nagar,Kumaraswamy Layout
Bake Land,Bakery,3.2,15,150,No,No,Bakery,Koramangala 7th Block,Wilson Garden
Bake N Joy,Dessert Parlor,3.5,6,500,No,No,"Bakery, Beverages",Kalyan Nagar,Kammanahalli
Bake The Cake,"Bakery, Beverage Shop",3.2,4,250,Yes,No,"Bakery, Fast Food, Beverages","Byresandra,Tavarekere,Madiwala",Bommanahalli
Bake-ooh,"Takeaway, Delivery",3.7,17,350,No,No,Bakery,Bannerghatta Road,Bannerghatta Road
Baker Ree,Delivery,3.7,22,200,No,No,"Bakery, Desserts",Frazer Town,Frazer Town
Bakers 77,"Bakery, Quick Bites",2.8,40,400,No,No,"Bakery, Fast Food",Brigade Road,MG Road
Baker's Cafe,Bakery,3.5,8,200,Yes,No,"Bakery, Desserts",Bellandur,Marathahalli
Bakers Day,Bakery,3.9,48,200,No,No,"Bakery, Desserts",Basavanagudi,Basavanagudi
Baker's Glove,"Bakery, Quick Bites",3.3,7,550,Yes,No,"Desserts, Bakery",Basavanagudi,Jayanagar
Baker's Home,"Bakery, Dessert Parlor",3.9,179,300,Yes,No,"Bakery, Desserts",Sarjapur Road,Bellandur
Bakers Paradise,"Bakery, Dessert Parlor",3,8,100,No,No,"Bakery, Desserts, Beverages",Rajajinagar,Rajajinagar
Bakers Town,Cafe,3.5,42,600,Yes,No,"Cafe, Continental, Fast Food",Jayanagar,BTM
Bakers77,"Bakery, Quick Bites",3.8,35,,No,No,"Bakery, Fast Food",Rajajinagar,Basaveshwara Nagar
Bakewalk,Bakery,3.3,4,200,No,No,"Bakery, Arabian",Koramangala 7th Block,Wilson Garden
Bakimo,Casual Dining,3.5,7,850,No,No,Continental,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
Bakingo,Bakery,3.4,6,500,Yes,No,"Bakery, Desserts",Whitefield,Marathahalli
Balaji Abhiruchi Multicuisine Restaurant,Casual Dining,3.4,27,550,No,No,"South Indian, North Indian, Chinese",Marathahalli,Marathahalli
Balaji Bombay Vada Pav Gujrati Dalebi,Takeaway,3.8,37,150,Yes,No,"Street Food, Sandwich",Bannerghatta Road,JP Nagar
Balaji Hotel,Quick Bites,2.8,40,300,Yes,No,"South Indian, North Indian, Beverages",Marathahalli,Kaggadasapura
Ballava,Quick Bites,3.3,5,400,No,No,"North Indian, South Indian",Bannerghatta Road,Bannerghatta Road
Balle Balle Dhaba,Quick Bites,3.6,195,500,Yes,No,"North Indian, Chinese",Kalyan Nagar,Kalyan Nagar
Balle-Licious Kitchen,Delivery,3.9,170,400,Yes,No,North Indian,HSR,HSR
Baluchi - The Lalit Ashok Bangalore,Fine Dining,4,134,3700,No,Yes,"North Indian, Kashmiri, Mughlai",Malleshwaram,Seshadripuram
Bamboo Heights,Casual Dining,3.7,112,500,No,No,"Chinese, Fast Food, Continental","Byresandra,Tavarekere,Madiwala",BTM
Bamboo Shades,Casual Dining,2.8,48,1000,Yes,No,"Charcoal Chicken, Chinese, North Indian, Juices, Desserts, Seafood, South Indian",Electronic City,Electronic City
Bamey's Restro Cafe,Casual Dining,4.2,532,600,Yes,No,"Chinese, Singaporean, Thai, Asian, Nepalese, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
Banana Beach Bar,Bar,3.7,1014,1300,Yes,Yes,"Continental, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 6th Block
Banana Leaf,Casual Dining,3.5,12,500,No,No,Andhra,Indiranagar,Domlur
Banaras Sweet House,"Sweet Shop, Quick Bites",3.7,24,100,No,No,"Mithai, Fast Food",Lavelle Road,Majestic
Banarasi Chat Centre,Quick Bites,3.2,6,150,No,No,Street Food,Kalyan Nagar,Kammanahalli
Banarasi Tadka,Quick Bites,2.7,16,200,No,No,North Indian,Indiranagar,Jeevan Bhima Nagar
Banashankari Biriyani,Quick Bites,2.8,40,300,No,No,"Biryani, South Indian",Malleshwaram,Rajajinagar
Banashankari Donne Biriyani,Quick Bites,3.3,4,300,No,No,"South Indian, Biryani","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block
Banashankari Nati Style,Quick Bites,3.6,8,300,Yes,No,South Indian,Bannerghatta Road,JP Nagar
Banashankari Restaurant,Quick Bites,3.6,24,400,Yes,No,South Indian,New BEL Road,New BEL Road
BanBay,Cafe,4,44,1100,No,No,"Cafe, Modern Indian, Pizza, Burger, Desserts",Church Street,Vasanth Nagar
Banchharam,Quick Bites,3.9,65,200,No,No,"Street Food, Mithai",Indiranagar,Ulsoor
Bang - The Ritz-Carlton,Lounge,4.2,477,3000,No,Yes,Finger Food,Lavelle Road,Residency Road
Bangali Babu Restaurant,Sweet Shop,3.2,4,250,No,No,"Mithai, Desserts, Fast Food","Byresandra,Tavarekere,Madiwala",BTM
Bangaliana,Casual Dining,3,61,600,Yes,No,Bengali,Electronic City,Electronic City
Bangalir Rannaghar,Quick Bites,2.9,58,250,No,No,"Bengali, North Indian, Chinese",Bannerghatta Road,Bannerghatta Road
Bangalore Agarwal Bhavan,Quick Bites,3,5,500,No,No,"Mithai, Street Food",Brookefield,Whitefield
BANGALORE BOX,"Casual Dining, Bar",4.1,612,1500,Yes,Yes,"Asian, Continental, Finger Food",Bannerghatta Road,BTM
Bangalore Brew Works,"Microbrewery, Lounge",4.2,2212,1700,No,Yes,"Continental, Italian",Brigade Road,Residency Road
Bangalore Bytes,Quick Bites,3.5,121,300,Yes,No,"Fast Food, South Indian, Biryani",Brigade Road,Brigade Road
Bangalore Cafe,Quick Bites,3.7,197,400,Yes,No,"South Indian, Fast Food","Byresandra,Tavarekere,Madiwala",HSR
Bangalore Cakes,Bakery,2.9,17,250,Yes,No,Bakery,Electronic City,Electronic City
Bangalore Donne Biriyani,Quick Bites,3.2,4,300,Yes,No,"South Indian, Biryani",Banashankari,Kumaraswamy Layout
Bangalore Durbar Fast Food,"Takeaway, Delivery",3.6,18,600,Yes,No,"North Indian, South Indian, Chinese, Kerala",Indiranagar,Thippasandra
Bangalore Express,"Takeaway, Delivery",2.8,40,300,No,No,"Bengali, Chinese, Seafood",Indiranagar,Thippasandra
Bangalore Food Cafe,Quick Bites,2.8,40,300,No,No,"North Indian, South Indian, Chinese, Fast Food",Brookefield,Brookefield
Bangalore Grill House,Quick Bites,3.2,6,300,No,No,"Arabian, BBQ, Mexican",Old Airport Road,Thippasandra
Bangalore Mandarin,Casual Dining,4.2,764,1100,Yes,No,"Chinese, Seafood",Brookefield,Whitefield
Bangalore Masala House,Cafe,4.1,257,500,Yes,No,"Cafe, Continental, Fast Food, Pizza, Italian, Burger, Chinese, Desserts",Lavelle Road,Vasanth Nagar
Bangalore Pantry,Quick Bites,2.8,40,400,Yes,No,"Chinese, North Indian, Biryani, Arabian",Bannerghatta Road,Bannerghatta Road
Bangalore Pub Exchange,"Pub, Casual Dining",4.1,207,1000,No,Yes,"Continental, Finger Food, Pizza, North Indian",Indiranagar,MG Road
Bangalore Shadi Biriyani,Quick Bites,3.5,57,150,Yes,No,"Chinese, North Indian",Brigade Road,Vasanth Nagar
Bangalore Star Biriyani,Quick Bites,3.4,7,300,No,No,"Biryani, Chinese, North Indian","Byresandra,Tavarekere,Madiwala",BTM
Bangalore Vibes,Quick Bites,3.2,4,300,Yes,No,"North Indian, Chinese",Kalyan Nagar,Hennur
Bangarpet Chat Express,Quick Bites,3.3,6,100,Yes,No,"Street Food, Fast Food",Banashankari,Basavanagudi
Bangarpet Chats,Quick Bites,2.8,40,80,No,No,Street Food,Kalyan Nagar,Kammanahalli
Bangarpet Chats Adda,Quick Bites,2.8,40,200,Yes,No,"Street Food, Sandwich, Beverages",Electronic City,Electronic City
Bangarpet Chats Corner,Quick Bites,3.3,7,150,No,No,Street Food,Malleshwaram,Rajajinagar
Banjara Melting Pot,Casual Dining,4.2,474,1700,Yes,Yes,"North Indian, Chinese, Seafood",Brigade Road,Cunningham Road
Bansuri Sweets,Quick Bites,3.8,110,200,No,No,"Street Food, North Indian","Byresandra,Tavarekere,Madiwala",BTM
Bao & Grills,Food Court,2.8,40,300,No,No,"Chinese, Asian",Bannerghatta Road,Bannerghatta Road
Bao and Rolls,Quick Bites,3.6,19,250,No,No,"Rolls, Kebab, Fast Food",Bannerghatta Road,Bannerghatta Road
BAR BAR,"Bar, Casual Dining",4.1,1003,1500,No,Yes,"Continental, North Indian, Italian",Whitefield,Whitefield
Bar UNO - JW Marriott Bengaluru,Lounge,3.9,72,2500,No,No,Spanish,Brigade Road,Lavelle Road
Barbecoa,Casual Dining,4.3,1303,1000,No,No,"North Indian, Continental, Chettinad, Andhra, Bengali",Bellandur,Marathahalli
Barbecue by Punjab Grill,Casual Dining,4.7,1316,1300,No,Yes,BBQ,Malleshwaram,Malleshwaram
Barbecued - By The Orchard,Casual Dining,4.3,592,1200,No,Yes,North Indian,Malleshwaram,Sadashiv Nagar
Barbeque Delight,Casual Dining,3.4,173,650,Yes,No,"Arabian, Kerala, Biryani, South Indian, Chinese, BBQ",Electronic City,Electronic City
Barbeque Nation,Casual Dining,3.8,32,1600,No,No,"North Indian, European, Mediterranean, BBQ, Kebab",Brookefield,Whitefield
Barbeque Station,Casual Dining,2.8,151,700,Yes,No,"North Indian, Chinese, BBQ","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block
Barcode,Bar,3.8,169,1300,No,Yes,"South Indian, North Indian","Byresandra,Tavarekere,Madiwala",Koramangala 4th Block
Barebones - The Balcony Bar,"Bar, Casual Dining",4.2,2445,1500,No,Yes,"Chinese, Continental, Finger Food, Italian",Indiranagar,Indiranagar
Barista,Cafe,3.2,11,300,No,No,Cafe,Indiranagar,CV Raman Nagar
Barkaas,Casual Dining,4.2,198,1000,Yes,Yes,"Arabian, Biryani, Desserts, Beverages, Salad",Marathahalli,Marathahalli
Barkat,Quick Bites,3.4,5,250,No,No,Kerala,"Byresandra,Tavarekere,Madiwala",BTM
Barley & Grapes Cafe,Cafe,4.2,842,1000,No,No,"Cafe, Italian, Continental",Whitefield,Whitefield
Barleyz,"Lounge, Microbrewery",3.7,4650,2000,No,No,"North Indian, Continental, Chinese",Koramangala 4th Block,Koramangala 6th Block
Basava Bhavana (B2),Quick Bites,2.8,40,200,No,No,South Indian,HSR,HSR
Basavanagudi Mylari,Quick Bites,4,52,300,No,No,South Indian,Banashankari,Basavanagudi
Basaveshwara Kanawali,Quick Bites,3.5,13,250,No,No,South Indian,Brookefield,Whitefield
Basaveshwara Khanavali,Quick Bites,3.3,11,150,No,No,South Indian,Bellandur,Bellandur
Basaveshwarnagar Dosa Corner,Quick Bites,3.8,75,200,Yes,No,South Indian,Malleshwaram,Basaveshwara Nagar
Basawa Hotel,Quick Bites,3.4,8,250,No,No,South Indian,"Byresandra,Tavarekere,Madiwala",BTM
Based On A True Story- Bistro,"Cafe, Quick Bites",4.3,496,800,Yes,Yes,"Cafe, Burger, Italian, Desserts",Kalyan Nagar,Kammanahalli
Basil Joint,"Takeaway, Delivery",3.5,24,300,Yes,No,"Fast Food, Beverages",Malleshwaram,New BEL Road
Baskin Robbins,Dessert Parlor,2.9,20,250,Yes,No,"Ice Cream, Desserts",Malleshwaram,Rajajinagar
Basmati Bar & Restaurant,Casual Dining,3.8,345,800,Yes,Yes,"Biryani, Andhra, North Indian, Chinese",Marathahalli,Marathahalli
Basmati Delights,Delivery,4,869,500,Yes,No,"Biryani, Chinese, Mughlai, Fast Food, Kebab",Bannerghatta Road,BTM
Basmati Restaurant,Casual Dining,3.8,419,900,Yes,No,"Biryani, Andhra, North Indian, Chinese",Bellandur,Bellandur
Basmati's Briyani Nation,"Takeaway, Delivery",2.8,40,350,Yes,No,"Biryani, Fast Food","Byresandra,Tavarekere,Madiwala",HSR
Basveshwara Khaanavali,Quick Bites,2.8,40,250,No,No,South Indian,Bannerghatta Road,Bannerghatta Road
Bat Chef,Quick Bites,2.6,26,500,Yes,No,Fast Food,Indiranagar,Indiranagar
Bathinda Dine,Casual Dining,3.9,266,950,Yes,No,North Indian,Sarjapur Road,Bellandur
Bathinda Junction,Casual Dining,3.8,367,600,Yes,No,North Indian,JP Nagar,BTM
Bathinda Tandoor,Quick Bites,2.8,40,300,Yes,No,North Indian,Bannerghatta Road,BTM
Batter Splatter,Bakery,3.3,5,350,No,No,Bakery,Brigade Road,Lavelle Road
Bawarchi,Quick Bites,3,29,400,No,No,"North Indian, Chinese",Electronic City,Electronic City
Bawarchi Biryani,Quick Bites,3.4,65,350,Yes,No,"Biryani, South Indian","Byresandra,Tavarekere,Madiwala",Koramangala 6th Block
Bawarchi Inn,Casual Dining,3,140,600,Yes,No,"North Indian, Biryani, Andhra, Chinese",Jayanagar,BTM
Bawarchi Khaana,Quick Bites,3.3,56,600,Yes,No,"North Indian, Chinese",Bellandur,Bellandur
Bawarchi Paradise,Quick Bites,3.5,89,500,Yes,No,"North Indian, Biryani",Bannerghatta Road,Bannerghatta Road
Bawarchi Restaurant,Casual Dining,3.1,4,700,No,No,"North Indian, Biryani",Electronic City,Electronic City
Bay Root,Quick Bites,3.7,24,400,No,No,"North Indian, Arabian",Bannerghatta Road,BTM
Bazaar - Zone By The Park,Casual Dining,4,415,1400,No,Yes,"Continental, South Indian, North Indian, Asian",Electronic City,Electronic City
Bazaar- Zone By The Park,Casual Dining,3.8,52,1100,No,Yes,"Continental, South Indian, North Indian, Asian",Brigade Road,Infantry Road
BBCUE Whitefield,Fine Dining,3.5,8,2400,No,No,Continental,Whitefield,Whitefield
BBQ King,Casual Dining,3.4,6,400,No,No,"Fast Food, Chinese, Burger, Hot dogs, Sandwich",Brookefield,Marathahalli
BBQ Ride 46,Food Truck,3.4,7,200,Yes,No,BBQ,Bannerghatta Road,South Bangalore
BBQ@52,Casual Dining,3.7,41,1500,No,Yes,"BBQ, Biryani, Continental",Church Street,MG Road
BBQ'D - Global Grill & Brewery,"Casual Dining, Microbrewery",4.3,456,1500,No,No,"BBQ, North Indian",Brigade Road,Lavelle Road
BBxR,Delivery,3.5,11,400,No,No,"Biryani, Kebab",Brookefield,Marathahalli
BDBD Banashri Davangere Benne Dose Hotel,Quick Bites,3.7,16,150,Yes,No,South Indian,Rajajinagar,Vijay Nagar
Beach Hut,Casual Dining,3.5,134,650,No,No,"North Indian, Chinese",Jayanagar,JP Nagar
Bean D'er Cafe,Quick Bites,3.4,8,250,Yes,No,"Tamil, Fast Food",JP Nagar,JP Nagar
Bean Flickers,Cafe,4.3,391,700,Yes,No,"Cafe, American, Fast Food, Coffee, Continental",Indiranagar,Indiranagar
Bearfoot Cafe,Cafe,4.2,174,600,Yes,No,Cafe,"Byresandra,Tavarekere,Madiwala",Koramangala 6th Block
Bearful,Casual Dining,3.8,179,1000,Yes,No,"Continental, North Indian, Chinese, Pizza",Sarjapur Road,Sarjapur Road
Bearys Restaurant,Casual Dining,3.3,6,450,No,No,"South Indian, North Indian",Frazer Town,RT Nagar
Beer Adda,"Casual Dining, Pub",4.2,541,1000,Yes,Yes,"North Indian, Chinese, Pizza","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
Beetle Juice Bar - Springs Hotel & Spa,Bar,3.7,64,2200,No,Yes,Finger Food,Basavanagudi,Basavanagudi
Begin with us....Tea Time Cafe,Beverage Shop,3.8,36,300,Yes,No,"Beverages, Tea","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block
Begum's Biriyani,Quick Bites,3.2,4,500,No,No,"Biryani, North Indian, Chinese",HSR,HSR
Behrouz Biryani,Delivery,3.9,114,650,Yes,No,Biryani,MG Road,Residency Road
Beijing Bites,Casual Dining,2.7,128,850,No,No,"Chinese, Thai",Banashankari,Banashankari
BEIR,Casual Dining,2.8,40,800,No,No,"Mexican, American",Bannerghatta Road,Bannerghatta Road
Bekal,Casual Dining,4,277,700,Yes,No,"Kerala, Mangalorean, Seafood",Indiranagar,Jeevan Bhima Nagar
Belgian Waffle Factory,Dessert Parlor,4.8,186,400,Yes,No,Desserts,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
BelgYum,Dessert Parlor,2.8,40,400,Yes,No,Desserts,Whitefield,Whitefield
Bella,Casual Dining,3.9,142,1000,Yes,Yes,"Mangalorean, Seafood, South Indian",Banashankari,Jayanagar
Bella?s Kitchen,Casual Dining,2.9,31,600,No,No,"Chinese, Seafood, North Indian",Bannerghatta Road,Bannerghatta Road
Bellandur Kitchen,Quick Bites,3.4,17,400,Yes,No,"North Indian, Chinese",Bellandur,Bellandur
Belly Deli,Delivery,4.1,178,400,Yes,No,"Fast Food, Biryani",Kammanahalli,Frazer Town
Belly Doze,"Takeaway, Delivery",3.6,31,600,No,No,"North Indian, Mughlai, Chinese",New BEL Road,New BEL Road
Belly Squad Food Truck,Food Truck,3.8,55,300,No,No,"Chinese, Rolls, Biryani, Momos",Banashankari,South Bangalore
Benaka Sweets,Sweet Shop,3.3,7,300,No,No,Mithai,Rajajinagar,Vijay Nagar
Bendakaluru Bytes,Quick Bites,3.2,154,300,Yes,No,Fast Food,Banashankari,Vijay Nagar
Bene - Sheraton Grand Bangalore Hotel at Brigade...,Fine Dining,4.2,244,2500,No,Yes,"Italian, European, Mediterranean",Malleshwaram,Malleshwaram
Bengal Biriyani,Quick Bites,2.9,28,150,No,No,Biryani,New BEL Road,New BEL Road
Bengal Sweets,"Sweet Shop, Quick Bites",3.9,40,300,No,No,"Mithai, Street Food",New BEL Road,Jalahalli
Bengali Fun Foods,Casual Dining,3.9,65,600,Yes,Yes,"Bengali, North Indian","Byresandra,Tavarekere,Madiwala",BTM
Bengalooru Tiffany's,Quick Bites,3,38,400,Yes,No,"South Indian, North Indian, Chinese, Street Food",Bannerghatta Road,JP Nagar
Bengaluru Baking Company - JW Marriott Bengaluru,"Bakery, Cafe",4.3,521,1400,No,No,"Salad, Bakery, Cafe, Sandwich, Italian, Burger",Brigade Road,Lavelle Road
Bengaluru Cafe,Quick Bites,3.3,4,150,No,No,South Indian,New BEL Road,Sanjay Nagar
Bengaluru Coffee House,Quick Bites,4.1,201,300,Yes,No,"South Indian, North Indian, Chinese, Street Food",Banashankari,Banashankari
Bengaluru House,Casual Dining,2.6,21,700,Yes,No,South Indian,HSR,HSR
Bengaluru Restaurant,Casual Dining,3.1,22,1500,No,No,"North Indian, South Indian",Electronic City,Electronic City
Bengaluru Square,Quick Bites,3.5,25,300,No,No,"Chinese, Beverages, Andhra",Brookefield,Marathahalli
Bengaluru's Biryanis Paradise,Quick Bites,3.7,26,300,No,No,Biryani,Bellandur,Marathahalli
Benjarong,Casual Dining,4.2,858,1800,Yes,No,"Thai, Asian",Brigade Road,Ulsoor
Benzys,Casual Dining,3.2,6,700,No,No,"Arabian, Chinese, Hyderabadi, Kerala","Byresandra,Tavarekere,Madiwala",BTM
Berakah,Casual Dining,4,253,600,Yes,No,"North Indian, Mughlai, Chinese",Kalyan Nagar,Hennur
Berry'd Alive,Dessert Parlor,4.3,1899,400,Yes,No,Desserts,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
Berrylicious,Dessert Parlor,3.8,89,400,Yes,No,"Ice Cream, Desserts, Bakery",Bannerghatta Road,JP Nagar
Berrylicious Cafe,"Casual Dining, Cafe",4.1,124,900,Yes,No,"Continental, Cafe, Desserts, Pizza, North Indian, Chinese, Ice Cream",Brigade Road,MG Road
Best,Quick Bites,3.4,6,400,No,No,"Fast Food, Chinese, Street Food",Whitefield,Whitefield
Best B Restaurant,Quick Bites,3.5,12,400,No,No,"South Indian, North Indian, Chinese, Kerala",Kammanahalli,HBR Layout
Best Brews - Four Points by Sheraton Bengaluru...,Bar,3.6,27,1500,No,No,Continental,Whitefield,Whitefield
Best In Klass,Quick Bites,3.2,47,200,Yes,No,South Indian,Brookefield,Whitefield
Best Of Bengal,Quick Bites,3.8,230,300,Yes,No,Bengali,Bellandur,Marathahalli
Bettaiah Military Hotel,Quick Bites,3.3,4,250,No,No,South Indian,Brigade Road,Shanti Nagar
Bewiched,Quick Bites,3.4,10,300,Yes,No,"Fast Food, Sandwich, Burger","Byresandra,Tavarekere,Madiwala",HSR
Beyond Elements,"Casual Dining, Cafe",4.1,859,900,Yes,Yes,"Cafe, Italian, Pizza, North Indian",Brookefield,Whitefield
BFC Family Restaurant,Casual Dining,3.2,426,600,Yes,No,"North Indian, Biryani, Chinese, Rolls",Marathahalli,Kaggadasapura
Bflat Bar,Lounge,3.9,854,1600,No,Yes,"North Indian, Chinese, Continental, Bengali",Indiranagar,Indiranagar
BG's Poolside Bar & Grill,"Casual Dining, Bar",4.1,106,1600,No,Yes,"Mediterranean, Italian, Mexican",Bellandur,Bellandur
Bhagatram Sweets,Quick Bites,3.4,225,300,No,No,"Street Food, Mithai",Lavelle Road,Commercial Street
Bhagini,Casual Dining,2,259,800,No,No,"Andhra, South Indian, Chinese, North Indian",Marathahalli,Marathahalli
Bhagini Icon Boutique Hotel,Casual Dining,3.1,6,600,Yes,No,"South Indian, North Indian, Continental",Brigade Road,Indiranagar
Bhagini IRIS,Casual Dining,3.6,115,600,No,No,"North Indian, Chinese",Brookefield,Whitefield
Bhagini Kitchen And Bar,"Casual Dining, Bar",3.8,35,1100,No,No,"Andhra, South Indian, Chinese, North Indian",Brookefield,Marathahalli
Bhaijaan Barbeques,Food Truck,3.4,8,200,Yes,No,"Mughlai, Arabian, BBQ",Bannerghatta Road,South Bangalore
Bhairava Deluxe Hindu Military Hotel,Quick Bites,3.4,4,400,No,No,South Indian,Malleshwaram,Rajajinagar
Bhairaveshwara Military Hotel,Quick Bites,4.1,133,250,Yes,No,"South Indian, Hyderabadi",Malleshwaram,Malleshwaram
Bhaiya Ji Food Court,Quick Bites,3,16,150,No,No,"North Indian, Street Food",Brigade Road,Ulsoor
Bhaiyajees,"Takeaway, Delivery",,40,300,No,No,"North Indian, South Indian",Koramangala 6th Block,Koramangala 8th Block
Bhaiyaji Food Court,Quick Bites,3.3,6,300,No,No,"North Indian, Mithai",Brigade Road,MG Road
Bhajanka's Restaurant,Casual Dining,3.6,21,700,No,No,"Street Food, North Indian, Continental, Beverages",Kammanahalli,Kammanahalli
Bhandary's Kitchen,Delivery,3.6,16,300,No,No,North Indian,MG Road,Koramangala 7th Block
